0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,Inclined tunnel conv. - F102,Inclined rubber conveyor belt,Rubber conveyor belt,Gearmotor - F102M,GEAR MOTOR RF27 DTE90L4,Gearmotor,,,,,,,,,,,,,
2,Horizontal tunnel conv. -F104,Horizontal tunnel conv. -F104,Rubber conveyor belt,Gearmotor- F104M,GEAR MOTOR RF27 DTE90L4,Gearmotor,,,,,,,,,,,,,
3,75 Curve conveyor infeed - F106,75 Curve Conveyor,Curve Belt,Drive Pulley - F106P,Drive Pulley Assmebly- 75C,Drive Pulley,75 Curve conveyor infeed - F106,GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,,,,,,,,,
4,Wall infeed conveyor Top - F008,Wall mounted rubber conveyor,Rubber conveyor belt,Gearmotor- F008M,GEAR MOTOR RF27 DTE90L4,Gearmotor,,,,,,,,,,,,,
5,Wall roller bed Top - F010,Wall mounted roller bed,SRF tilted roller conveyor,Gearmotor- F010M,GEAR MOTOR FH67 CM90M,Gearmotor,,,,,,,,,,,,,
6,"90 Curve conv, Pre-decline - F012",90 Curve Conveyor,Curve Belt,Drive Pulley - F012P,Drive Pulley Assmebly - 90C,Drive Pulley,"90 Curve conv, Pre-decline - F012",GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,,,,,,,,,
7,Decline infeed conveyor - F104,Inclined rubber conveyor belt,Rubber conveyor belt,Gearmotor - F014M,GEAR MOTOR RF27 DTE90L4,Gearmotor,,,,,,,,,,,,,
8,Infeed accumulation roller bed - F016,Accumulation Roller Bed,Powered roller bed,Gearmotor - F016M,TBC,Gearmotor,,,,,,,,,,,,,
9,Gapping conveyor 1  infeed - F018,Green gapping conveyor,Rubber conveyor belt,Gearmotor - F018M,GEAR MOTOR RF27 CM71M,Gearmotor,,,,,,,,,,,,,
10,Gapping conveyor 2 infeed - F020,Green gapping conveyor,Rubber conveyor belt,Gearmotor - F020M,GEAR MOTOR RF27 CM71M,Gearmotor,,,,,,,,,,,,,
11,Merge conveyor- S002,Merge conveyor- S002,Rubber conveyor belt,Gearmotor S002M,GEAR MOTOR RF37 DTE90K4,Gearmotor,Merge conveyor- S002,GEAR MOTOR RF07 DR63L4,Gearmotor,,,,,,,,,,
12,Post-merge roller bed - S004V,Powered Roller Bed,SRF tilted roller conveyor,Gearmotor,HELICAL GEAR MOTOR M3 180/2,Gearmotor,,,,,,,,,,,,,
13,90 Curve conv. Post-merge- S006,90 Curve Conveyor,Curve Belt,Drive Pulley - S006P,Drive Pulley Assmebly - 90C,Drive Pulley,90 Curve conv. Post-merge- S006,GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,,,,,,,,,
14,Mezzanine longitudinal conveyor- S008,Mezzanine longitudinal conveyor- S008,Rubber conveyor belt,Gearmotor - S008M,GEAR MOTOR RF27 DTE90L4,Gearmotor,,,,,,,,,,,,,
15,Gapping conveyor 3 pre-sort - S010,Rubber Gapping Conveyor,Rubber conveyor belt,Gearmotor - S010M,SA 47 DRE90m4BE1/mm15 (44913),Gearmotor,,,,,,,,,,,,,
16,Gapping conveyor 4 pre-sort - S012,Rubber Gapping Conveyor,Rubber conveyor belt,Gearmotor - S012M,SA 47 DRE90m4BE1/mm15 (44913),Gearmotor,,,,,,,,,,,,,
17,90 Curved conv. Pre-sort - S014,90 Curve Conveyor,Curve Belt,Drive Pulley - S014P,Drive Pulley Assmebly - 90C,Drive Pulley,90 Curved conv. Pre-sort - S014,GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,,,,,,,,,
18,Gapping conveyor 5 pre-sort - S016,Rubber Gapping Conveyor,Rubber conveyor belt,Gearmotor - S016M,SA 47 DRE90m4BE1/mm15 (44913),Gearmotor,,,,,,,,,,,,,
19,Pre-sort conveyor- S018,Sorter rubber conveyor,Rubber conveyor belt,Gearmotor - S018M,SA 47 DRE90m4BE1/mm15 (44913),Gearmotor,,,,,,,,,,,,,
20,Shoe-sorter- S020,TGW Natrix Shoe Sorter,Shoe Sorter,Lubrication System - S020L,Sorter Lubrication,Lubrication,Shoe-sorter- S020,GEAR MOTOR KH67  DVE100L4,Gearmotor,PC Control Hardware - S020PC,Dexion Control RDS,Hardware,,,,,,,
21,Post-sort conveyor - S022,Sorter rubber conveyor,Rubber conveyor belt,Gearmotor,SA 47 DRE90m4BE1/mm15 (44913),Gearmotor,,,,,,,,,,,,,
22,Curved conveyor Post-sort - S024,90 Curve Conveyor,Curve Belt,Drive Pulley - S024P,Drive Pulley Assmebly - 90C,Drive Pulley,Curved conveyor Post-sort - S024,GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,,,,,,,,,
23,Wall recirc. conveyor Bottom -S026,Wall mounted rubber conveyor,Rubber conveyor belt,Gearmotor - S026M,GEAR MOTOR RF27 DTE90L4,Gearmotor,,,,,,,,,,,,,
24,Wall roller bed  Bottom - S028,Wall mounted roller bed,SRF tilted roller conveyor,Gearmotor - S028M,SPUR GEAR MOTOR M3 180/2,Gearmotor,,,,,,,,,,,,,
25,Curved conveyor Recirc.- S030,90 Curve Conveyor,Curve Belt,Drive Pulley - S030P,Drive Pulley Assmebly - 90C,Drive Pulley,Curved conveyor Recirc.- S030,GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,,,,,,,,,
26,Recirc. rubber conveyor - S032,Recirc Rubber conveyor,Rubber conveyor belt,Gearmotor - S032M,GEAR MOTOR RF27 DTE90L4,Gearmotor,,,,,,,,,,,,,
27,Recirc. accumulation roller bed - S034,Accumulation Roller Bed,Powered roller bed,Gearmotor - S034M,TBC,Gearmotor,,,,,,,,,,,,,
28,Gapping conveyor 3 Recirc. - S036,Green gapping conveyor,Rubber conveyor belt,Gearmotor - S036M,GEAR MOTOR RF27 CM71M,Gearmotor,,,,,,,,,,,,,
29,Gapping conveyor 4 Recirc. - S038,Green gapping conveyor,Rubber conveyor belt,Gearmotor - S038M,GEAR MOTOR RF27 CM71M,Gearmotor,,,,,,,,,,,,,
